String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
Intro_Text1	First text for the Intro Sequence	Welcome to Flatten Island, The World's most bizarre island!%n%%n% Don't worry about the volcano behind the island, it's not dangerous!	Welcome to Flatten Island, The World's most bizarre island!%n%%n% Don't worry about the volcano behind the island, it's not dangerous!	Bem vindo a Flatten Island, a ilha mais bizarra do mundo%n%%n%Não se preocupe com o vulcão atrás da ilha, não é perigoso!	¡Bienvenido a Flatten Island, la isla más estrafalaria del mundo!%n%%n% No te preocupes por el volcán detrás de la isla, no es peligroso.	Benvingut a Flatten Island, la illa més estrafolària del món!%n%%n%o et preocupis pel volcà de darrere la illa, no és perillós.	Bienvenue à Flatten Island, l'île la plus saugrenue au monde !%n%%n% Ne vous inquiétez pas pour le volcan derrière l'île, il n'est pas dangereux !	Benvenuto a Flatten Island, l'isola più bizzarra del mondo!%n%%n% Non preoccuparti del vulcano dietro l'isola, non è pericoloso!	Welkome op Flatten Island, de werelds meest bizarre island! %n%%n% Maak geen zorgen over de vulkaan achter het eiland, het is niet gevaarlijk	Willkommen auf Flatten Island, der bizarrsten Insel der Welt!%n%%n% Mach dir keine Sorgen wegen des Vulkans hinter der Insel, er ist nicht gefährlich!	Vítej na Flatten Island, nejpodivuhodnějším ostrově na světě!%n%%n% Z vulkánu vzadu si nedělej starosti, není nebezpečný.	Witamy na Spłaszczonej Wyspie, najdziwaczniejszej wyspie świata!%n%%n% Nie przejmuj się tym wulkanem w tle, nic ci nie grozi!	Добро пожаловать на Флаттен-Айленд, самый странный остров в мире!%n%%n% Не беспокойся о вулкане за островом, он не опасен!	Ласкаво просимо на Flatten Island - найдивніший у світі острів!%n%%n% Не хвилюйся через вулкан, який знаходиться за островом, він безпечний!	Dobrodošao na Flatten Island, najbizarniji otok na svijetu!%n%%n% Nemoj se bojati vulkana iznad otoka, nije opasan!	Καλως όρισες στην Ισοπεδώνησο, το πιο περίεργο νησι του κόσμου!%n% Μην ανησυχείς για το ηφαίστειο πίσω από το νησί, δεν είναι επικίνδυνο!	Dünyanın en tuhaf adası Flatten Island'a hoş geldin!%n%%n% Adanın arkasındaki yanardağ için endişelenme, tehlikeli değil!	ברוח הבא לאי השטוח! %n% %n%     אל תדאג מההר הגעש מאחורי האי, הוא לא כל כך מסוכן!	مرحبًا بكم في جزيرة فلاتن ، الجزيرة الأكثر غرابة في العالم! %n% %n% لا تقلقوا بشأن البركان خلف الجزيرة ، ليس خطراً!	به عجیب ترین جزیره جهان Flatten Island خوش آمدید! %n% %n%   بخاطر آتش فشان پشت جزیره نگران نباشید، خطرناک نیست!	欢迎来到沸拉腾小岛，世界上最神奇的小岛！%n%%n%不要担心岛背面的火山，它不危险！	Flatten Island에 오신 걸 환영합니다. 세상에서 가장 이상한 섬이랍니다!%n%%n% 뒤에 있는 화산은 신경쓰지 마세요. 전혀 위험하지 않아요!	世界で最も不思議な島、フラットアイランドへようこそ！%n%%n% 島の後ろに火山が見えるけど危険じゃないから安心して！
Intro_Text2		Here the governor is selected in a raffle amongst all citizens.%n%%n% You arrived just in time: the draw is today.  	Here the governor is selected in a raffle amongst all citizens.%n%%n% You arrived just in time: the draw is today.  	Aqui o prefeito é escolhido em um sorteio entre todos os cidadãos.%n%%n%Você chegou bem na hora: o resultado sai hoje.	Aquí el gobernador se selecciona con un sorteo entre todos los ciudadanos.%n%%n% Llegaste justo a tiempo: el sorteo es hoy mismo. 	Aquí el governador s'escull a través d'un sorteig entre els ciutadans.%n%%n% Has arribat jut a temps: el sorteig e´s avui mateix.	Ici, le gouverneur est élu par tirage au sort parmi tous les citoyens.%n%%n% Vous arrivez juste à temps : le tirage au sort est aujourd'hui. 	Il governatore dell'isola viene estratto a sorte tra tutti i cittadini.%n%%n% Sei arrivato giusto in tempo: l'estrazione è oggi.	Hier wordt de gouverneur geselecteerd met een loterij onder alle burgers%n%%n%. Je bent net op tijd aangekomen: de trekking is vandaag.	Hier wird der Gouverneur mit einer Tombola unter den Bürgern gewählt.%n%%n% Du bist gerade rechtzeitig gekommen: Heute ist die Auslosung.	Svého premiéra si zde volíme pomocí losování mezi všemi občany.%n%%n% Dorazil jsi právě včas: losování už začalo.	Premier jest wybierany losowo wśród mieszkańców.%n%%n% Jesteś w samą porę: losowanie odbędzie się dzisiaj.  	Здесь выбирают губернатора по жеребьёвки среди всех граждан.%n%%n% Ты прибыл как раз вовремя — выборы сегодня.	Правитель тут вибирається шляхом розіграшу між всіма громадянами.%n%%n% Ти з´явився саме вчасно: розіграш проводиться сьогодні.	Ovdje bilo tko od građana može postati gradonačelnik ako pobijedi na lutriji.%n%%n% Stigao si baš na vrijeme: danas je izvlačenje.	Εδώ ο κυβερνήτης επιλέγεται από όλους τους πολίτες μέσω κλήρωσης. %n%%n% Έφτασες πάνω στην ώρα: Η κλήρωση είναι σήμερα.	Burada vali, vatandaşlar arasında yapılan bir çekiliş ile seçilir.%n%%n% Tam zamanında geldin: çekiliş bugün yapılacak.	כאן הממשלה נבחר עם הגרלה בין כל האזרחים. %n% %n%     הגעת בזמן : ההגרלה היא היום	هنا يتم اختيار الحاكم بسحب بين جميع المواطنين. %n% %n%  لقد وصلتم في الوقت المناسب: القرعة اليوم ..	در اینجا حاکم به اساس قرعه کشی از بین همه شهروندان انتخاب می شود. %n% %n%   شما به موقع رسیدید: قرعه کشی امروز است.	这里的岛主将在所有岛民中摇号产生。%n%%n%您到达得正是时候：开奖就在今天。	이 섬에서는 시장을 제비뽑기로 선출해요.%n%%n% 마침 적당한 때에 오셨어요. 오늘이 추첨 날이거든요.	ここの町長は島の住民全員から抽選で選ばれるんだ。%n%%n% ちょうどよかったね、実は今日が抽選の日なんだよ。
Intro_Text3		And the winner is ... you!%n%%n% Congratulations, you will rule the island with the help of a few advisors.%n% Let's meet them ...	And the winner is ... you!%n%%n% Congratulations, you will rule the island with the help of a few advisors.%n% Let's meet them ...	E o vencedor é... você!%n%%n%Parabéns, você governará a ilha com a ajuda de alguns assessores%nVamos conhecê-los...	Y el ganador... ¡eres tú!%n%%n% ¡Enhorabuena! Gobernarás la isla con la ayuda de algunos asesores.%n% Vamos a conocerlos ...	I el guanyador...ets tu!%n%%n% Enhorabona! Governaràs la illa amb l'ajuda d'alguns assesors. %n% Anem a coneixe'ls...	Et le gagnant est...VOUS! %n%%n% Félicitations! Vous gouvernerez l'île avec l'aide de quelques conseillers. %n%  Allons à leur rencontre... 	E il vincitore... sei tu!%n%%n% Congratulazioni, governerai l'isola con l'aiuto di alcuni consiglieri.%n% Andiamo a conoscerli!	En de winnaar ben...jij! %n%%n% Gefeliciteerd, je zult over het eiland regeren met de help van een paar adviseurs. %n% Laten we ze ontmoeten	Und der Gewinner … bist du!%n%%n% Herzlichen Glückwunsch, du wirst die Insel mithilfe einiger Berater regieren.%n% Lass uns sie treffen … 	A vítěz... jsi ty!%n%%n% Gratulujeme! Povedeš tenhle ostrov s pomocí několika rádců. Tak se na ně podívejme...	Brawo... Jesteś premierem!%n%%n% Gratulacje, do pomocy przy podejmowaniu decyzji masz kilku doradców.%n% Poznajmy ich...	И победитель... ты!%n%%n% Поздравляем, ты будешь править островом вместе с советниками. Давай познакомимся с ними...	І переможцем стає...(ш) ти!%n%%n% Щирі вітання! Ти правитимеш островом з допомогою декількох радників. Познайомимось з ними ...	A pobjednik... si ti!%n%%n% Čestitamo, uz pomoć nekoliko savjetnika vladat ćeš otokom.%n% Idemo ih upoznati...	Και ο νικητής είναι...εσύ!%n%%n% Συγχαρητήρια, θα κυβερνήσεις στο νησί με την βοήθεια μερικών συμβούλων. %n% Ας τους συναντήσουμε...	Ve kazanan... sensin!%n%%n% Tebrikler, adayı birkaç danışmanın yardımıyla yöneteceksin.%n% Hadi onlarla tanışalım...	והמנצח הוא ...אתה! %n% %n%     מזל טוב, אתה תשלוט באי בעזרת היועצים שלנו. %n%   בוא לפגוש אותם	والفائزون هم ... أنتم! %n% %n%  تهانينا ، ستحكمون الجزيرة بمساعدة من قبل المستشارين. %n%  لنلتقي بهم ...	و برنده... شما هستید! %n% %n%  مبارکتان باد، شما باهمکاری چند مشاور بر جزیره حکمرانی خواهید کرد. %n%  بیایید آنها را ملاقات کنیم ...	这次的赢家就是----你！%n%%n% 在许多顾问的帮助下统治这个小岛。%n%让我们跟他们见面…	어디 당선자가... 당신이네요!%n%%n% 축하드려요. 이제 고문들의 조언을 받아 섬을 관리하시면 됩니다.%n% 고믄들을 만나봅시다...	町長になるのは…君だ！%n%%n% おめでとう！これから島を統治するのに5人の相談役が君を助けてくれるよ。 早速会ってみよう…
OkText		OK	OK	OK	OK	OK	Ok	OK	ok	OK	OK	OK	Хорошо	ОК	OK	ΟΚ	Tamam	אוקיי	حسناً	تایید	OK	확인	OK
YesText		Yes	Yes	Sim	Sí	Sí	Oui	Sì	Ja	Ja	Ano	Tak	Да	Так	Da	Ναι	Evet	כן	نعم	بلی	好的	네	はい
NoText		No	No	Não	No	No	Non	No	Nee	Nein	Ne	Nie	Нет	Ні	Ne	Οχι	Hayır	לא	كلا	نخیر	否	아니오	いいえ
QuitGameDialogTitle		Quit Game	Quit Game	Sair do Jogo	Salir de la partida	Sortir de la partida	Quitter le jeu	Abbandona	Stop het spel	Spiel beenden	Odejít ze hry	Wyjdź z gry	Выйти	Вийти з гри	Odustani	Έξοδος	Oyundan çık	צא מהצשחק	إنهاء اللعبة	خروج از بازی	退出游戏	나가기	ゲームをやめる
QuitGameDialogMessage		Are you sure?	Are you sure?	Tem Certeza?	¿Estás seguro?	Estàs segur?	Êtes-vous sûr?	Sei sicuro?	Ben je het zeker?	Bist du sicher?	Jsi si jistý?	Na pewno chcesz wyjść z gry?	Ты уверен?	Ти впевнений?	Jesi li siguran?	Είσαι σίγουρος;	Emin misin?	האם אתה בטוח ?	هل أنتم واثقون؟	مطمئن هستید؟	你确定吗?	정말 종료할까요?	本当によろしいですか？
Win_Title		CONGRATULATIONS!	CONGRATULATIONS!	PARABÉNS!	¡ENHORABUENA!	ENHORABONA!	FELICITATIONS!	CONGRATULAZIONI!	Gefeleciteerd!	GRATULATION	GRATULUJEME!	GRATULACJE!	ПОЗДРАВЛЯЕМ!	ВІТАННЯ!	ČESTITAMO!	ΣΥΓΧΑΡΗΤΗΡΙΑ!	TEBRİKLER!	מזל טוב	تهانينا!	تبریک !	恭喜！	축하합니다!	おめでとう！
Win_Description		The virus has been defeated.%n% You discovered the vaccine in:	The virus has been defeated.%n% You discovered the vaccine in:	O vírus foi derrotado.%nVocê descobriu a vacina em:	Le has ganado la partida al virus.%n% Has descubierto la vacuna en:	Has guanyat la partida al virus. %n% Has descobert la vacuna en:	Vous avez vaincu le virus. %n% Vous avez découvert le vaccin au bout de:	Il virus è stato sconfitto.%n% Hai scoperto il vaccino in:	Het virus is verslagen %n% Je hebt het vaccin ontdekt	Der Virus wurde beseitigt.%n% Du entdecktest den Impfstoff in:	Porazil jsi virus.%n% Objevil jsi vakcínu v:	Wirus został pokonany.%n% Szczepionkę odkryto w ciągu:	Вирус уничтожен. Ты нашел вакцину в:	Ти переміг вірус.%n%%n% Ти винайшов вакцину за:	Virus je poražen.%n% Otkrio si cjepivo u:	Νίκησες τον ιό.%n% Ανακάλυψες το εμβόλιο σε:	Virüs yok edildi.%n% Aşıyı şu sürede buldunuz:	הנגיף הובס. %n%   גילית את החיסון ב :	تمت هزيمة الفيروس. %n% إكتشفتم اللقاح في:	ویروس شکست خورده است. %n% چون شما واکسن را در این زمینه کشف کردید:	该病毒已被击败。%n%您发现了疫苗在：	바이러스를 물리쳤습니다.%n% 백신 개발에 걸린 시간:	ウイルスを島から追い払った。%n% ワクチンの発見にかかった日数:
